mean1	mean2	sd1	sd2	sampleID
-0.56380945	-0.08682866	-1.8192042	0.14533485	HG00096
-0.505544	-0.051782437	-1.6726841	0.08947206	HG00097
-0.57377356	0.10057586	-1.6949761	0.13801362	HG00099
-0.5081659	0.17408709	-1.6801637	0.08646811	HG00100
-0.5766265	0.1726387	-1.7218157	0.18638219	HG00101
-0.57060796	0.10614853	-1.7301391	0.12958087	HG00102
-0.5122227	-0.19125159	-1.7052025	0.047666438	HG00103
-0.5376393	0.20170633	-1.8965237	0.27983487	HG00105
-0.4766195	0.16180639	-1.8706353	0.20270075	HG00106
-0.5259711	0.01410859	-1.9341139	0.29337204	HG00107
-0.5014847	-0.07530839	-1.7966936	0.16864838	HG00108
-0.52810293	-0.087573834	-1.6237295	-0.0012915044	HG00109
-0.5464737	-0.09935481	-1.6206522	-0.05399906	HG00110
-0.59328085	-0.032952614	-1.7438277	0.09495152	HG00111
-0.52093667	0.05437606	-1.7006735	0.15020992	HG00112
-0.47691455	0.061208896	-1.9150305	0.26911354	HG00113
-0.49491194	0.094016366	-1.8115723	0.3089111	HG00114
-0.52356595	-0.08878929	-1.7958624	0.15968074	HG00115
-0.56871885	0.11675697	-1.6096783	0.09901584	HG00116
-0.4945685	-0.016576476	-1.927329	0.30786884	HG00117
-0.59299344	0.021703295	-1.8052096	0.15106119	HG00118
-0.48639205	0.1364234	-1.7822456	0.21050133	HG00119
-0.5374028	0.018120103	-1.7173823	0.13298596	HG00120
-0.5408692	0.29150552	-1.6561732	0.23460771	HG00121
-0.53603977	0.04702144	-1.6150659	0.047734387	HG00122
-0.5133608	0.08725088	-1.7065939	0.1704004	HG00123
-0.53884214	0.030902915	-1.7334961	0.15099527	HG00125
-0.5193382	-0.06790347	-1.8235929	0.19135465	HG00126
-0.54664594	0.13376991	-1.6993811	0.119542964	HG00127
-0.46438137	-0.058854766	-1.7712452	0.20286168	HG00128
-0.5233764	-0.10998411	-1.7986373	0.15721668	HG00129
-0.5203758	-0.036091276	-1.6614556	0.09769846	HG00130
-0.49938384	0.2038068	-1.8566649	0.29629815	HG00131
-0.55093914	0.06748264	-1.9112954	0.2544366	HG00132
-0.5547686	0.13992624	-1.7633221	0.22276212	HG00133
-0.53067106	0.12198072	-1.8328316	0.25425994	HG00136
-0.53561205	0.08510833	-1.6589417	0.112099655	HG00137
-0.49924234	0.10097378	-1.6968205	0.20115353	HG00138
-0.5478057	-0.14059182	-1.632008	-0.0061600115	HG00139
-0.53288215	0.0853992	-1.7204614	0.10829676	HG00140
-0.49865177	0.05705791	-1.7906456	0.20481981	HG00141
-0.55242556	0.005212597	-1.7072773	0.11526085	HG00142
-0.5969693	0.09135371	-1.5677025	0.029267201	HG00143
-0.5341577	0.1437581	-1.8397801	0.20840277	HG00145
-0.5014103	0.024189763	-1.998879	0.36813605	HG00146
-0.5309344	0.14925162	-1.8712939	0.29779887	HG00148
-0.55132014	0.12591808	-1.7502203	0.17322709	HG00149
-0.5420601	0.0073965113	-1.8546515	0.20698108	HG00150
-0.43525007	-0.08122022	-1.788821	0.23301555	HG00151
-0.4740844	0.14897017	-1.9352069	0.27845013	HG00154
-0.547779	0.17046623	-1.6737726	0.18715192	HG00155
-0.50166374	-0.07469768	-1.9220119	0.27380443	HG00157
-0.52960104	-0.07809336	-1.7651334	0.13126005	HG00158
-0.5195102	-0.048620887	-1.8297063	0.13362016	HG00159
-0.53384	0.08272856	-1.831331	0.25552583	HG00160
-0.5372631	-0.10330004	-1.7794772	0.13112797	HG00171
-0.50546724	0.029213957	-1.734027	0.17791845	HG00173
-0.519546	-0.06898052	-1.6640819	0.06393803	HG00174
-0.5894988	0.20039742	-1.7323601	0.2253622	HG00176
-0.6019966	0.16875724	-1.6275299	0.075280674	HG00177
-0.5087133	0.12759058	-1.8762295	0.28448236	HG00178
-0.53062195	0.06719916	-1.7216057	0.16866495	HG00179
-0.58391255	0.019463591	-1.6250317	0.044883974	HG00180
-0.5069954	-0.15407439	-1.6856939	0.056454904	HG00181
-0.54319614	0.060285382	-1.6676971	0.12853576	HG00182
-0.56759566	0.10401433	-1.781609	0.16915359	HG00183
-0.53257483	0.04340165	-1.7318239	0.17878677	HG00185
-0.5153623	-0.05710084	-1.6864811	0.11525024	HG00186
-0.48754016	0.060493283	-1.8126631	0.2372426	HG00187
-0.55514604	0.013577989	-1.739408	0.12570061	HG00188
-0.51940924	0.071565084	-1.7879953	0.19352783	HG00189
-0.49808267	0.111461334	-1.7658372	0.20433797	HG00190
-0.4991981	0.09816509	-1.7500966	0.20124032	HG00231
-0.5663269	0.19027714	-1.7750454	0.22592117	HG00232
-0.49324134	0.123317294	-1.817208	0.18940498	HG00233
-0.42399433	-0.060186453	-1.8042939	0.20412315	HG00234
-0.48955217	-0.10080344	-1.8286332	0.16833915	HG00235
-0.53720075	0.11440163	-1.7988487	0.18865992	HG00236
-0.5244209	-0.018081136	-1.6747116	0.08773721	HG00237
-0.49316385	-0.08079142	-1.8100404	0.19026674	HG00238
-0.4692643	-0.073420234	-1.7980858	0.22617568	HG00239
-0.4600363	-0.0036721905	-1.762825	0.12632789	HG00240
-0.52928406	0.042644195	-1.8254335	0.22403206	HG00242
-0.5614453	0.0128666675	-1.8179837	0.17192139	HG00243
-0.51441044	0.1854295	-1.8506312	0.22464933	HG00244
-0.5273773	-0.14363427	-1.7113491	0.06529284	HG00245
-0.55089766	-0.061765738	-1.6884118	0.08012474	HG00246
-0.5092308	0.0404542	-1.8820131	0.29265368	HG00250
-0.59583133	0.14145522	-1.6378031	0.10214127	HG00251
-0.5516811	0.0886262	-1.7836134	0.17398442	HG00252
-0.5212359	-0.0059335907	-1.8125892	0.17292465	HG00253
-0.4897528	-0.17955299	-1.7326484	0.086578734	HG00254
-0.49471095	-0.051565	-1.7196615	0.1238829	HG00255
-0.49476293	0.22034614	-1.8020046	0.2649021	HG00256
-0.533822	0.099771194	-1.7694213	0.18603577	HG00257
-0.49617758	-0.007883617	-1.8569344	0.24487986	HG00258
-0.5649089	-0.09397633	-1.7535295	0.09465612	HG00259
-0.51436764	0.23448531	-1.8689282	0.32087314	HG00260
-0.48767343	0.10093539	-1.828589	0.31343985	HG00261
-0.46427765	-0.11129267	-1.6684299	0.11200226	HG00262
-0.574642	0.04472118	-1.8848598	0.17643155	HG00263
-0.52783877	0.04537254	-1.7194614	0.1601391	HG00264
-0.5215623	0.07033663	-1.7544786	0.1963941	HG00265
-0.5722166	9.4822964e-05	-1.8284068	0.17591919	HG00266
-0.49638155	-0.07078225	-1.8130938	0.20641936	HG00267
-0.5365326	0.033578806	-1.8917589	0.2547785	HG00268
-0.4880356	-0.09385628	-1.6917989	0.11653162	HG00269
-0.5464023	0.017051272	-1.696321	0.11842919	HG00271
-0.53047544	0.11853927	-1.6621966	0.09263206	HG00272
-0.5204577	0.13368575	-1.7214956	0.21483482	HG00273
-0.5095857	-0.13485439	-1.4923415	-0.07795679	HG00274
-0.5405074	0.03236764	-1.7994837	0.20038559	HG00275
-0.51544815	-0.035423823	-1.7751034	0.18599309	HG00276
-0.4908252	0.068876915	-1.708597	0.15309478	HG00277
-0.5947532	0.092861705	-1.6150912	-0.033262007	HG00278
-0.49555698	0.06478398	-1.7448144	0.12027419	HG00280
-0.477945	0.0031185667	-1.7440206	0.19149114	HG00281
-0.47314695	-0.026992746	-1.744797	0.18894495	HG00282
-0.44838503	-0.015824743	-1.8477495	0.31102192	HG00284
-0.5580215	0.16869609	-1.7690823	0.1875359	HG00285
-0.52237374	0.046426825	-1.7919543	0.1683364	HG00288
-0.49060717	-0.038396306	-1.6860625	0.14025511	HG00290
-0.5492613	0.045593195	-1.5748268	0.05583466	HG00304
-0.52013177	-0.07220394	-1.8012387	0.17817177	HG00306
-0.5693545	0.13617162	-1.7616229	0.14371766	HG00308
-0.4877223	0.027357988	-1.7928777	0.2519431	HG00309
-0.5841467	0.22629325	-1.7666819	0.30060327	HG00310
-0.58954746	0.3161338	-1.749779	0.1963761	HG00311
-0.48731855	-0.0038186987	-1.841036	0.18323602	HG00313
-0.5064506	0.055234604	-1.6955134	0.18080868	HG00315
-0.49418178	0.18619971	-1.776849	0.2484044	HG00318
-0.5719748	0.17192881	-1.8420737	0.26082492	HG00319
-0.5598156	0.08951145	-1.9151664	0.2777462	HG00320
-0.5295188	-0.090323634	-1.8171548	0.17372145	HG00321
-0.48532072	-0.0061600883	-1.7953994	0.14754786	HG00323
-0.49775663	-0.07055218	-1.8292649	0.19805135	HG00324
-0.51197726	0.13141362	-1.7868011	0.15523447	HG00325
-0.4851115	0.060233645	-1.6724248	0.15638043	HG00326
-0.48347512	-0.10251207	-1.7085605	0.10399843	HG00327
-0.49545458	0.04209333	-1.7820096	0.23375572	HG00328
-0.50691444	0.079238586	-1.7308482	0.21318294	HG00329
-0.528586	-0.19423838	-1.7479736	0.041428216	HG00330
-0.54822916	-0.12943478	-1.8208834	0.12905349	HG00331
-0.56432146	0.05682283	-1.8944471	0.25138676	HG00332
-0.47047547	0.012180856	-1.8383356	0.30532765	HG00334
-0.49921444	0.04144817	-1.8728511	0.27085793	HG00335
-0.48670557	-0.05815465	-1.7902124	0.2044989	HG00336
-0.5378199	0.18675403	-1.7116231	0.17717482	HG00337
-0.54808694	0.021420889	-1.6660811	0.10613514	HG00338
-0.5308743	-0.10570104	-1.6405488	0.04398764	HG00339
-0.5635204	0.08364754	-1.8152201	0.17824472	HG00341
-0.4982039	0.018419199	-1.9320216	0.23045291	HG00342
-0.49340907	-0.023305245	-1.8394051	0.22701336	HG00343
-0.5611997	0.045912676	-1.800405	0.15428723	HG00344
-0.5435925	0.02293878	-1.7414336	0.12900259	HG00345
-0.48873332	0.054880075	-1.8245323	0.21451129	HG00346
-0.49189368	0.091328554	-1.7678041	0.20951809	HG00349
-0.5108606	0.10437363	-1.793413	0.26986694	HG00350
-0.52396244	0.005431227	-1.5991676	0.054293282	HG00351
-0.4784682	0.09396594	-1.7457552	0.19601454	HG00353
-0.46212772	0.18275444	-1.7033495	0.14902069	HG00355
-0.5878561	-0.046050854	-1.9276818	0.22655143	HG00356
-0.53468376	0.02283471	-1.7549673	0.116791375	HG00357
-0.4961008	0.13745134	-1.6851823	0.20581402	HG00358
-0.5363812	-0.050253935	-1.6006546	0.03642703	HG00360
-0.55888635	-0.0072884043	-1.6453438	0.0697043	HG00361
-0.4799315	0.056605034	-1.9246819	0.30992937	HG00362
-0.46687844	0.045645647	-1.9348329	0.39867818	HG00364
-0.5170612	0.085347466	-1.7840416	0.14891697	HG00365
-0.49613264	0.06779998	-1.8462963	0.28378892	HG00366
-0.5189602	0.13841788	-1.7926309	0.18400778	HG00367
-0.4675739	-0.027417965	-1.6979725	0.12063063	HG00368
-0.5378267	0.08447879	-1.7820296	0.22225489	HG00369
-0.5576362	0.18374579	-1.7472348	0.27137136	HG00371
-0.51148075	-0.023838349	-1.6916718	0.1419021	HG00372
-0.4791731	0.21132402	-2.0322356	0.4482833	HG00373
-0.5051959	0.06505149	-1.7679982	0.16325773	HG00375
