mean1	mean2	sd1	sd2	sampleID
-2.3911064	-1.8881923	-1.180735	0.023899512	HG00759
-1.416797	-0.5646239	-0.44360304	-0.40898287	HG00844
-2.450568	-1.8175029	-1.2456484	-0.16816337	HG00851
-2.615876	-1.8840841	-1.2369484	-0.07935707	HG00864
-2.4361217	-1.8974737	-1.0905644	0.06231363	HG00867
-1.6780013	-0.54703325	-0.74876624	-0.53704476	HG00879
-2.419968	-1.8307567	-1.1992228	-0.02588786	HG00956
-2.395569	-1.829158	-1.1185627	-0.04852082	HG00978
-2.3506334	-1.8976072	-1.0603412	-0.030495537	HG00982
-2.0522852	-1.3126044	-1.3980523	-0.40056038	HG01028
-2.3893566	-1.940093	-1.0765868	-0.0061139	HG01029
-2.7128727	-2.065236	-1.4120167	-0.086144164	HG01046
-2.5093975	-1.9656178	-1.1007015	-0.1743121	HG01794
-2.5752342	-2.089671	-1.1417925	-0.043488875	HG01796
-1.6009046	-0.6937477	-0.51715916	-0.34235677	HG01797
-2.699979	-2.114204	-1.2575271	-0.044928595	HG01798
-2.3592272	-1.9653925	-1.0584335	0.015094059	HG01799
-2.4879034	-2.0599833	-1.1064463	-0.15992318	HG01800
-1.57239	-0.55884755	-0.60111135	-0.50127196	HG01801
-2.360563	-1.9338318	-1.0891175	0.014399575	HG01802
-2.4252603	-1.8780581	-1.134227	-0.05680348	HG01804
-2.3264928	-1.9380068	-1.16414	-0.03261359	HG01805
-0.79815793	0.56327075	-0.5928186	-0.8592663	HG01806
-2.406153	-1.8923444	-1.0625073	0.016592251	HG01807
-1.5339266	-0.4660573	-0.6488967	-0.40038794	HG01808
-1.7556119	-0.68139637	-0.7036405	-0.37236655	HG01809
-2.423112	-2.1287081	-1.0790025	-0.07805644	HG01810
-1.7795775	-0.63940644	-0.7571476	-0.51124454	HG01811
-2.4922967	-2.0717962	-1.1058089	-0.1235383	HG01812
-2.4146783	-1.9312373	-1.0642897	-0.020551277	HG01813
-2.4475229	-2.0739646	-1.0849943	-0.104175344	HG01815
-2.060732	-1.420696	-1.197173	-0.3991671	HG01817
-1.7434059	-0.64454335	-0.7097222	-0.46324605	HG02151
-0.7407042	0.51020724	-0.60194904	-0.5642627	HG02152
-2.3610382	-1.9023488	-1.0419761	0.009542303	HG02153
-2.426681	-1.8929316	-1.0221094	0.082152024	HG02154
-1.5555037	-0.7046922	-0.67709637	-0.43963307	HG02155
-2.2690213	-1.8973551	-1.2160859	-0.095879	HG02156
-2.3525677	-1.8897092	-1.020292	0.025472509	HG02164
-2.685313	-2.0132983	-1.2434059	-0.111319765	HG02165
-1.563133	-0.4427442	-0.5849608	-0.37469345	HG02178
-2.541508	-2.0287209	-1.0736104	-0.22362675	HG02179
-1.5294353	-0.6501141	-0.5495757	-0.46548283	HG02180
-1.5223243	-0.59091276	-0.43954188	-0.3218463	HG02181
-2.4973626	-2.0596938	-1.1989111	-0.18545945	HG02182
-2.4377172	-1.932507	-1.0225316	0.025015878	HG02184
-1.2989964	-0.6015447	-0.40838954	-0.37005618	HG02185
-1.6974578	-0.6582169	-0.68714327	-0.338082	HG02186
-2.3784044	-1.9670731	-1.0324314	0.06650092	HG02187
-1.5758232	-0.43893933	-0.59725493	-0.31292063	HG02190
-2.5646667	-2.1081011	-1.0861777	-0.19762023	HG02351
-2.384421	-1.8404006	-1.0731809	-0.06736483	HG02355
-2.3397968	-1.9467041	-1.0127784	0.1190009	HG02356
-1.5494452	-0.61227524	-0.49395302	-0.237143	HG02360
-2.412769	-1.9447092	-1.1873335	0.08605443	HG02364
-2.4685357	-1.8918576	-1.1126205	0.061199114	HG02367
-2.3527257	-1.8994147	-1.0166323	-0.055368736	HG02371
-2.3925688	-1.8905107	-1.1014314	0.013165968	HG02373
-2.3578773	-1.869568	-1.001578	-0.013601227	HG02374
-2.4169295	-1.869564	-1.1062742	-0.017520411	HG02375
-2.4519405	-1.9622599	-1.063223	0.015905546	HG02382
-1.6031095	-0.4547093	-0.5945178	-0.29643452	HG02383
-1.2138045	0.05911245	-0.73716545	-0.825389	HG02384
-1.4264148	-0.61153793	-0.47388726	-0.31870705	HG02385
-1.8453997	-1.0872449	-1.2749916	-0.42685115	HG02386
-2.3618636	-1.8762642	-1.0715292	0.06734513	HG02389
-1.5789562	-0.42980927	-0.62113905	-0.28964278	HG02390
-2.5612125	-2.1097343	-1.1253532	-0.10066013	HG02391
-2.323371	-1.8206048	-1.1385804	-0.048061326	HG02392
-2.402332	-1.8313226	-1.0528901	-0.023400469	HG02394
-2.412615	-1.9057028	-1.091	0.051187173	HG02395
-2.5482419	-2.0833387	-1.0862657	-0.16007052	HG02396
-2.6777158	-1.9920052	-1.1787345	-0.03546457	HG02397
-2.4913156	-2.1375294	-1.151033	-0.1444665	HG02398
-2.4981697	-2.0025492	-1.1033398	-0.21112014	HG02399
-2.3593109	-1.8979542	-1.1233088	-0.044416204	HG02401
-2.4059377	-1.9092598	-1.0512774	0.023119168	HG02402
-1.5422355	-0.63722324	-0.48963493	-0.32421643	HG02406
-2.5279682	-2.111639	-1.153957	-0.095132396	HG02407
-0.86478114	0.48261762	-0.59354424	-0.749938	HG02408
-1.2457504	0.050973523	-0.81475	-0.6622954	HG02409
-2.3920097	-1.9004592	-1.0862361	0.0019934643	HG02410
