mean1	mean2	sd1	sd2	sampleID
1.6398095	-0.5236542	-0.5360429	-0.5277288	HG00759
2.1782298	-0.28265578	-0.78649575	-0.97516316	HG00844
1.6438786	-0.37502953	-0.5371361	-0.7740075	HG00851
1.8318266	-0.08289961	-0.79917634	-0.8862446	HG00864
1.625825	-0.5088966	-0.49812728	-0.45081252	HG00867
2.0419817	-0.21445331	-0.71409804	-1.0670336	HG00879
1.6997756	-0.5514158	-0.7032064	-0.6550171	HG00956
1.7076222	-0.4791272	-0.6967556	-0.5753021	HG00978
1.6096729	-0.48214146	-0.5409929	-0.44461417	HG00982
1.5586396	-0.46148401	-0.6365559	-0.6996915	HG01028
1.5761901	-0.49572125	-0.43560004	-0.4618436	HG01029
1.5708066	-0.033266943	-0.59858894	-0.9927098	HG01046
1.7620264	-0.14708203	-0.6928927	-0.69549084	HG01794
1.7673768	-0.15336293	-0.7810159	-0.8339355	HG01796
2.1702595	-0.2607821	-0.6703001	-0.8938955	HG01797
1.7248086	-0.046070132	-0.66309464	-0.816183	HG01798
1.5367533	-0.44951627	-0.4720805	-0.46118623	HG01799
1.7062389	-0.1336488	-0.6809501	-0.75701535	HG01800
2.181597	-0.30098385	-0.87425405	-0.8359902	HG01801
1.5532488	-0.47828126	-0.45589736	-0.48498794	HG01802
1.5590202	-0.5558729	-0.35185957	-0.393933	HG01804
1.5922097	-0.48377708	-0.5136687	-0.5229557	HG01805
2.3034127	-0.28180897	-0.75705487	-0.78640985	HG01806
1.6492774	-0.5467032	-0.5416054	-0.44384402	HG01807
2.0473018	-0.5365344	-0.8964824	-0.8779497	HG01808
2.0731711	-0.29016548	-0.83324176	-0.9710107	HG01809
1.6943406	-0.18933713	-0.699995	-0.7480882	HG01810
1.9623076	-0.2664501	-0.8376459	-0.9493444	HG01811
1.6857251	-0.20222145	-0.59701854	-0.6956255	HG01812
1.6218379	-0.4308158	-0.51555425	-0.4424109	HG01813
1.6598737	-0.053520937	-0.6829387	-0.8464628	HG01815
1.6802438	-0.13352942	-0.91297996	-0.6559919	HG01817
2.0909543	-0.2923169	-0.856223	-0.9420588	HG02151
1.7875961	0.042059492	-0.51041305	-0.9373131	HG02152
1.6642898	-0.4934232	-0.5282901	-0.5945834	HG02153
1.6088189	-0.38888487	-0.3796941	-0.4791316	HG02154
2.2076786	-0.08195658	-0.631502	-1.0195624	HG02155
1.5924517	-0.5006784	-0.54561204	-0.5293645	HG02156
1.5944804	-0.5055143	-0.4600312	-0.49057692	HG02164
1.6627904	-0.006767589	-0.594023	-0.89289796	HG02165
2.0509853	-0.42022398	-0.823381	-0.83970755	HG02178
1.7303301	0.25286877	-0.8333059	-0.8565773	HG02179
2.2177067	-0.28632915	-0.81591547	-0.9772215	HG02180
2.121642	-0.24960917	-0.8721703	-0.8236681	HG02181
1.7301544	-0.14471142	-0.7245779	-0.8221086	HG02182
1.6617688	-0.5443529	-0.47114563	-0.38468635	HG02184
2.1342566	-0.28469446	-0.811378	-0.9619653	HG02185
2.1650114	0.073292896	-0.62446827	-0.88497263	HG02186
1.5471365	-0.49863967	-0.42765152	-0.45334744	HG02187
2.0098755	-0.5277186	-0.709679	-0.85623807	HG02190
1.6181031	-0.10299484	-0.73289657	-0.7227909	HG02351
1.6259739	-0.45941368	-0.5395091	-0.39731172	HG02355
1.6077626	-0.5372355	-0.37239385	-0.46009147	HG02356
2.2636957	-0.3136352	-0.8223807	-0.909346	HG02360
1.5979599	-0.4850953	-0.54038155	-0.4797817	HG02364
1.6756407	-0.5387522	-0.5369309	-0.46310163	HG02367
1.583013	-0.39358765	-0.4809978	-0.41717225	HG02371
1.6246146	-0.50139403	-0.5478394	-0.4403282	HG02373
1.568822	-0.43439886	-0.55947936	-0.41393745	HG02374
1.6013328	-0.51445955	-0.50107473	-0.45278448	HG02375
1.5849717	-0.5153686	-0.49988058	-0.40060028	HG02382
2.2139788	-0.5377028	-0.8277732	-0.84327495	HG02383
2.0452147	-0.21382225	-0.96881217	-0.8968589	HG02384
2.1104064	-0.2617069	-0.7031363	-0.87024367	HG02385
1.2531847	0.040425446	-0.57457405	-0.9253546	HG02386
1.6103028	-0.5120827	-0.4206198	-0.47366267	HG02389
2.1360183	-0.5204367	-0.83098894	-0.8891072	HG02390
1.7043971	-0.18113323	-0.62067395	-0.8138217	HG02391
1.7913374	-0.4645861	-0.69008094	-0.5996377	HG02392
1.642655	-0.45996848	-0.52279717	-0.47869444	HG02394
1.6201535	-0.52205724	-0.5353518	-0.45672667	HG02395
1.6484649	-0.17233703	-0.55893075	-0.59997666	HG02396
1.7372698	-0.0315994	-0.6071817	-0.7563033	HG02397
1.6950852	-0.2021159	-0.62564915	-0.71593016	HG02398
1.7354046	-0.16464764	-0.6359478	-0.63703144	HG02399
1.6291956	-0.49008408	-0.45451832	-0.45285034	HG02401
1.56999	-0.48205373	-0.45145583	-0.4398265	HG02402
2.1101737	-0.24857941	-0.67838293	-0.89975506	HG02406
1.7117733	-0.2146698	-0.6390749	-0.7261267	HG02407
2.3068016	-0.23442951	-0.59300816	-0.84497774	HG02408
2.1243777	-0.21074848	-0.8161634	-0.87930256	HG02409
1.6386596	-0.5301175	-0.38886717	-0.41339454	HG02410
